MMSID|title_parent|processing_type|processing_rules|processing_options|publication_key|title_code|edition_discriminators|section_codes|sequence_letters|Access|Magazine|ingest_status|Frequency|entity_type|title_mets|ISSN online|Bib ID|Access condition|Date catalogued|Collector_folder|Cataloguer|Notes|first_issue_starting_page|last_issue_starting_page|has_volume_md|has_issue_md|has_number_md|previous_volume|previous_volume_date|previous_volume_frequency|previous_issue|previous_issue_date|previous_issue_frequency|previous_number|previous_number_date|previous_number_frequency|
9917923443502836|North Taranaki Midweek|parent_grouping||numeric_before_alpha|title_code|NOT||ED1+QFS||200|0|STA||PER|North Taranaki Midweek|||||North_Taranaki_Midweek||Fairfax updated title code|||0|0|0||||||||||
9917962043502836|Nor-West News|parent_grouping||numeric_before_alpha|title_code|NWT||ED1+QFS||200|0|STA||PER|Nor-West News|||||Nor-West_News||Fairfax updated title code|||0|0|0||||||||||
9917905613502836|New Zealand Gardener|parent_grouping||alpha_before_numeric|title_code|NZG||ED1||200|1|TEC||PER|New Zealand gardener||1790561|200|27/05/2016|New_Zealand_Gardener|Christina||NZGED1-20160101-001||1|1|0|71|20150101|Yearly|1|20151201|Monthly||||
9917974563502836|Outlook Real Estate|parent_grouping||alpha_before_numeric|title_code|ORE||ED1||200|0|TEC||PER|Outlook Real Estate||1797456|100|23/06/2016|Outlook_Real_Estate|Christina|TDNYPW-20160806-001 just page 1 - sitting in Taranaki Daily news folder|||0|0|0||||||||||
9917966453502836|Papakura Courier|parent_grouping||numeric_before_alpha|title_code|PAC||ED1||200|0|STA||PER|Papakura Courier|||||Papakura_Courier||Fairfax updated title code|||0|0|0||||||||||
9917966443502836|Piako Post|parent_grouping||numeric_before_alpha|title_code|PIP||ED1+QFS||200|0|STA||PER|Piako Post|||||Piako_Post||Fairfax updated title code|||0|0|0||||||||||
9917913203502836|Marlborough Property Express|parent_grouping||numeric_before_alpha||PRM||ED1||200|0|SUP|Thursday|SS|Marlborough Property Express||1791320|100|31/05/2016|Marlborough_Express|Andrew R|Fairfax updated title code|||0|0|0||||||||||
9915205583502836|The Press|parent_grouping||numeric_before_alpha|title_code|PRS||ED1+TAB+YWE+QFS||200|0|STC||PER|Press (Christchurch)|||||The_Press||Fairfax updated title code|||0|0|0||||||||||
9919016168802836|The Press|supplement_grouping||alpha_before_numeric||PRS||ED1|T|200|0|SUP|Tuesday|ss|TV week||||||||||||||||||||||
9917906003502836|The Press|supplement_grouping||alpha_before_numeric||PRS||YWE||200|0|SUP||SS|Your weekend||1790600|200|27/05/2016|The_Press|Andrew R|Fairfax updated title code|||0|0|0||||||||||
9919219292502836|Property guide Manawatu|parent_grouping||numeric_before_alpha|title_code|PRB||ED1||200|0|STA||PER|Property Guide||||| Property Guide ||Fairfax updated title code|||0|0|0||||||||
9918647057502836|Property weekly|parent_grouping||alpha_before_numeric|title_code|PWM||ED1||200|0|TEC||PER|Property weekly|||||TBD||New title. Need missing pages|||0|0|0||||||||||
9917966493502836|Rodney Times|parent_grouping||numeric_before_alpha|title_code|RDT||ED1||200|0|STA||PER|Rodney Times|||||Rodney_Times||Fairfax updated title code|||0|0|0||||||||||
9917907173502836|Saturday Express|parent_grouping||numeric_before_alpha|title_code|SAE||ED1||200|0|STA||PER|Saturday express|||||Saturday_Express||Fairfax updated title code|||0|0|0||||||||||
9917984313502836|Sunday News|parent_grouping||numeric_before_alpha|title_code|SDN||ED1||200|0|STA||PER|Sunday News|||||Sunday_News||Fairfax updated title code|||0|0|0||||||||||
9917982163502836|Southern Homes|parent_grouping||alpha_before_numeric|title_code|SHM||ED1||200|0|STA||PER|Southern Homes||1798216|100|30/06/2016|Southern_Homes|Denise||||0|0|0||||||||||
